,Chord_2,,,,,,,,,,,
Chord_1,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.3,0.9,0.3,0.4,0.6,0,0.1,0,0.3,0.7,0.2
1,1,0,1,0.8,0.4,1,0,0.8,0.3,1,1,0.8
2,0.9,0.1,0,0.9,1,0.1,0.9,1,0.1,0.1,0.2,0.8
3,0.1,0.2,0.9,0,0.4,0.1,0.3,0.8,0,0.9,0.8,0.3
4,0.9,0.8,1,0.8,0,0.4,1,0.1,0,1,0.8,0.4
5,0.2,0.4,1,0.2,0.8,0,0.1,0.5,0.3,0,0.1,0.4
6,0,0.2,0.3,0.2,0.3,0.3,0,0.1,0,0.3,0.3,0.2
7,0,0.1,1,0.9,0.5,0.4,0.3,0,0.3,0.3,0.4,0.5
8,0,0.1,0.9,0.5,0.4,0.9,0,0.1,0,0.8,1,0.3
9,0.3,0.4,0.1,0.4,0.6,0.1,0.2,0.4,0,0,0.1,0.5
10,0.6,0.1,0.8,0.3,0.9,0,9,0.4,0.5,0.3,0,0.8
11,0.1,0.2,1,0.4,1,1,0.9,0.9,0.3,0.9,1,0
